Institute ID,Name,City,State,Score,Rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.04,1
IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,88.12,2
IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,83.96,3
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.56,4
IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,78.89,5
IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,76.70,6
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,72.98,7
IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,69.17,8
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.03,9
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,66.04,10
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.68,11
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,65.53,12
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.51,13
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,63.50,14
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.36,15
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,61.68,16
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,61.41,17
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,61.40,18
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,60.92,19
IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh,60.43,20
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,60.00,21
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,59.16,22
IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat,58.27,23
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.02,24
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.73,25
IR-E-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,57.51,26
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,57.48,27
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,57.18,28
IR-E-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,56.90,29
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,56.70,30
IR-E-U-0263,"National Institute of Technology, Calicut",Kozhikode,Kerala,56.66,31
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,56.62,32
IR-E-U-0064,"Indian Institute of Technology, Patna",Patna,Bihar,56.19,33
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.76,34
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,55.65,35
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,55.11,36
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,54.70,37
IR-E-U-0055,"National Institute of Technology, Silchar",Silchar,Assam,54.63,38
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,54.62,39
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,West Bengal,54.57,40
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,53.36,41
IR-E-U-0356,Kalinga Institute of Industrial Technology,BHUBANESWAR,Odisha,53.06,42
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.37,43
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.93,44
IR-E-U-0747,Chandigarh University,Mohali,Punjab,51.73,45
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,51.69,46
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.17,47
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,50.50,48
IR-E-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,50.20,49
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,50.11,50
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,49.58,51
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,49.45,52
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,49.33,53
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.56,54
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,48.33,55
IR-E-U-0844,"Indian Institute of Technology, Tirupati",YERPEDU,Andhra Pradesh,48.16,56
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.68,57
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,47.61,58
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,47.00,59
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,46.67,60
IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,46.43,61
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,46.41,62
IR-E-U-0072,"National Institute of Technology, Patna",Patna,Bihar,46.24,63
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,45.87,64
IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,45.71,65
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.52,66
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.17,67
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,44.92,68
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,44.79,69
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,44.63,70
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,44.62,71
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,44.38,72
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,44.16,73
IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.02,74
IR-E-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,43.83,75
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,42.77,76
IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.76,77
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,42.56,78
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,42.14,79
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,41.92,80
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,41.91,81
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,41.79,82
IR-E-C-1262,B.M.S. College of Engineering,Bengaluru,Karnataka,41.71,83
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,41.35,84
IR-E-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,41.10,85
IR-E-C-45375,"National Institute of Food Technology, Entrepreneurship and Management - Thanjavur (NIFTEM - Thanjavur)",Thanjavur,Tamil Nadu,41.06,86
IR-E-U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,41.05,87
IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,40.78,88
IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,40.73,89
IR-E-U-0207,"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,40.71,90
IR-E-C-19754,SR University,Warangal,Telangana,40.69,91
IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,40.58,92
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,40.53,93
IR-E-U-0522,Jaypee Institute of Information Technology,Noida,Uttar Pradesh,40.50,94
IR-E-C-16626,Rajalakshmi Engineering College,Chennai,Tamil Nadu,40.47,95
IR-E-U-0163,The Northcap University,Gurugram,Haryana,40.33,96
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,40.24,97
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,40.19,98
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,40.16,99
IR-E-U-0733,PES University,Bengaluru,Karnataka,40.14,100
IR-E-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,40.08,101
IR-E-U-0011,Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,39.92,102
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,39.92,102
IR-E-C-36969,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,39.83,104
IR-E-U-0169,Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,39.66,105
IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,39.64,106
IR-E-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,39.43,107
IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,39.32,108
IR-E-C-36926,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,39.32,108
IR-E-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,39.24,110
IR-E-U-0367,Veer Surendra Sai University of Technology,Burla,Odisha,39.14,111
IR-E-U-0795,Indian Institute of Information Technology Guwahati,Guwahati,Assam,39.09,112
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,39.04,113
IR-E-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,38.87,114
IR-E-U-0223,"Jain University, Bangalore",Bengluru,Karnataka,38.55,115
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,38.51,116
IR-E-C-27616,University College of Engineering,Hyderabad,Telangana,38.49,117
IR-E-C-37065,Kongu Engineering College,Perundurai,Tamil Nadu,38.31,118
IR-E-C-33641,"Veermata Jijabai Technological Institute (VJTI, Mumbai)",Mumbai,Maharashtra,38.29,119
IR-E-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,38.26,120
IR-E-C-1371,New Horizon College of Engineering,Bengaluru,Karnataka,38.18,121
IR-E-C-37064,Sri Krishna College of Technology,Coimbatore,Tamil Nadu,38.14,122
IR-E-U-0056,Tezpur University,Tezpur,Assam,38.12,123
